text,value
και,O
το,O
ρεκόρ,O
του,O
είναι,O
18.9,B-CARDINAL
εκατομμύρια,I-CARDINAL
τηλεθεατές,O
),O
είχε,O
εξηγήσει,O
πως,O
“,O
κατ',O
εμάς,O
",",O
τα,O
fake,O
news,O
είναι,O
οι,O
ιστορίες,O
που,O
είναι,O
αποδεδειγμένα,O
ψευδείς,O
",",O
ιντριγκάρουν,O
το,O
λαό,O
",",O
σε,O
πολιτισμικό,O
επίπεδο,O
και,O
“,O
καταναλώνονται,O
”,O
από,O
εκατομμύρια,O
ανθρώπους,O
”,O
.,O
«,O
Αναμένουμε,O
την,O
άμεση,O
ανάκληση,O
των,O
σχετικών,O
πινάκων,O
που,O
έχουν,O
αναρτηθεί,O
καθότι,O
είναι,O
μη,O
νόμιμοι,O
»,O
καταλήγει,O
ο,O
Ιατρικός,B-ORG
Σύλλογος,I-ORG
της,I-ORG
Αθήνας,I-ORG
.,O
Αυτός,O
και,O
οι,O
συνεργάτες,O
του,O
ενοικίασαν,O
ένα,B-CARDINAL
τρακτέρ,O
και,O
μια,B-CARDINAL
μπουλντόζα,O
για,O
να,O
αποσπάσουν,O
τα,O
200,B-QUANTITY
κυβικά,I-QUANTITY
μέτρα,I-QUANTITY
πετρωμάτων,O
που,O
εμπόδιζαν,O
την,O
πρόσβασή,O
τους,O
στα,O
στρώματα,O
γης,O
όπου,O
βρίσκονταν,O
θαμμένα,O
τα,O
λίθινα,O
εργαλεία,O
και,O
τα,O
απολιθωμένα,O
οστά,O
",",O
μεταξύ,O
των,O
οποίων,O
διάφορα,O
τμήματα,O
από,O
κρανία,O
και,O
μια,B-CARDINAL
τέλεια,O
διατηρημένη,O
κάτω,O
γνάθος,O
.,O
«,O
Έχετε,O
οικονομική,O
ανάκαμψη,O
και,O
αυτό,O
το,O
επιβεβαιώνουν,O
όλοι,O
οι,O
δείκτες,O
»,O
είπε,O
ο,O
Πιερ,B-PERSON
Μοσκοβισί,I-PERSON
και,O
ανέφερε,O
ότι,O
«,O
υπάρχει,O
επιστροφή,O
στην,O
ανάπτυξη,O
και,O
θεαματικές,O
επιδόσεις,O
στη,O
δημοσιονομική,O
προσαρμογή,O
.,O
Παρόμοιο,O
σκηνικό,O
επικράτησε,O
στην,O
Κεφαλονιά,B-GPE
και,O
την,O
Κυλλήνη,B-GPE
.,O
Όσον,O
αφορά,O
στη,O
λειτουργία,O
της,O
βασικής,O
δομής,O
του,O
εγκληματικού,O
δικτύου,O
στη,O
Στερεά,B-GPE
Ελλάδα,I-GPE
",",O
ο,O
«,O
αρχηγός,O
»,O
",",O
σε,O
συνεργασία,O
με,O
υπαλλήλους,O
οικείων,O
Υπηρεσιών,B-ORG
Μεταφορών,I-ORG
και,I-ORG
Επικοινωνιών,I-ORG
μεριμνούσε,O
ώστε,O
να,O
εφοδιαστούν,O
ημεδαποί,O
και,O
αλλοδαποί,O
με,O
άδειες,O
οδήγησης,O
",",O
χωρίς,O
τις,O
προβλεπόμενες,O
από,O
το,O
νόμο,O
διαδικασίες,O
.,O
Ο,O
Σοσιαλδημοκράτης,B-NORP
δήμαρχος,O
του,O
Μονάχου,B-GPE
Ντίτερ,B-PERSON
Ράιτερ,I-PERSON
δήλωσε,O
:,O
Αποθέματα,O
παγωμένου,O
νερού,O
ανακαλύφθηκαν,O
κάτω,O
από,O
την,O
επιφάνεια,O
του,O
Άρη,B-LOC
Η,O
κύρια,O
εκδήλωση,O
για,O
τον,O
εορτασμό,O
της,O
Παγκόσμιας,B-EVENT
Ημέρας,I-EVENT
Αστεροειδών,I-EVENT
2017,I-EVENT
θα,O
πραγματοποιηθεί,O
την,O
Παρασκευή,B-DATE
στις,O
30,B-DATE
Ιουνίου,I-DATE
μεταξύ,O
15.00-21.00,B-TIME
στον,O
Πειραιά,B-GPE
και,O
συγκεκριμένα,O
στον,O
Πειραϊκό,B-ORG
Σύνδεσμο,I-ORG
-,O
Καραϊσκου,O
104,O
",",O
ταυτόχρονα,O
με,O
700,B-CARDINAL
άλλες,O
εκδηλώσεις,O
σε,O
άλλες,O
χώρες,O
ανά,O
τον,O
πλανήτη,O
μας,O
.,O
Εάν,O
οι,O
δανειστές,O
θέλουν,O
να,O
ορθοποδήσει,O
η,O
Ελλάδα,B-GPE
",",O
πρέπει,O
να,O
μεώσουν,O
τις,O
μακροπρόθεσμες,O
απαιτήσεις,O
τους,O
για,O
πρωτογενή,O
πλεονάσματα,O
σε,O
επίπεδο,O
όχι,O
ανώτερο,O
το,O
1%,B-PERCENT
του,O
ΑΕΠ,O
ετησίως,O
",",O
έτσι,O
ώστε,O
να,O
σταματήσει,O
η,O
υπερφορολόγηση,O
που,O
σκοτώνει,O
την,O
ανάπτυξη,O
»,O
.,O
Στην,O
9μελή,O
επιτροπή,O
του,O
Ηνωμένου,B-GPE
Βασιλείου,I-GPE
",",O
τα,O
5,B-CARDINAL
μέλη,O
είναι,O
εκπρόσωποι,O
μεγάλων,O
ρυπαντών,O
",",O
όπως,O
είναι,O
οι,O
ανθρακικές,O
RWE,B-ORG
",",O
EDF,B-ORG
και,O
E.ON,B-ORG
και,O
τα,O
διυλιστήρια,O
Stanlow,B-ORG
.,O
Στο,O
JPL,B-ORG
ο,O
ερευνητής,O
δεν,O
είναι,O
μια,B-CARDINAL
μονοδιάστατη,O
έννοια,O
.,O
Η,O
ίδια,O
",",O
ζήτησε,O
την,O
Τρίτη,B-DATE
μια,B-CARDINAL
“,O
μεγάλη,O
συγνώμη,O
”,O
από,O
την,O
οικογένεια,O
και,O
αναμένεται,O
η,O
απολογία,O
της,O
στις,O
ανακριτικές,O
Αρχές,O
.,O
Οι,O
δαπάνες,O
που,O
γίνονται,O
σε,O
αυτά,O
τα,O
καταστήματα,O
δεν,O
καταγράφονται,O
σε,O
αυτά,O
τα,O
καταστήματα,O
δεν,O
μπορούν,O
να,O
πιστοποιηθούν,O
ως,O
καταναλωτικές,O
και,O
άρα,O
δεν,O
θα,O
καταγραφούν,O
από,O
τις,O
τράπεζες,O
στα,O
ποσά,O
που,O
θα,O
σταλούν,O
στην,O
ΑΑΔΕ,B-ORG
.,O
Οι,O
παροχές,O
που,O
διασφαλίζει,O
η,O
ΚΥΑ,B-LAW
είναι,O
ισότιμες,O
με,O
τον,O
κανονισμό,O
παροχών,O
του,O
ΕΟΠΥΥ,B-ORG
(,O
κάθε,O
υπηρεσία,O
νοσηλείας,O
",",O
διαγνωστικές,O
εξετάσεις,O
",",O
ιατρικά,O
βοηθήματα,O
κλπ,O
),O
.,O
Παγκόσμιου,B-ORG
Οργανισμού,I-ORG
Υγείας,I-ORG
(,O
ΠΟΥ,B-ORG
),O
.,O
«,O
Επιτιθέμενος,O
στο,O
Μαυροβούνιο,B-GPE
και,O
θέτοντας,O
εν,O
αμφιβόλω,O
τις,O
υποχρεώσεις,O
μας,O
στο,O
NATO,B-ORG
",",O
ο,O
πρόεδρος,O
παίζει,O
ακριβώς,O
το,O
παιγνίδι,O
του,O
Πούτιν,B-PERSON
»,O
",",O
υποστήριξε,O
μέσω,O
Twitter,B-PRODUCT
ο,O
ρεπουμπλικάνος,O
γερουσιαστής,O
Τζον,B-PERSON
Μακέιν,I-PERSON
.,O
"	O

Είναι	O
το	O
πρώτο	B-ORDINAL
εκπαιδευτικό	O
ίδρυμα	O
στην	O
Ελλάδα	B-GPE
προσανατολισμένο	O
σε	O
σπουδές	O
πληροφορικής	O
και	O
τεχνολογίας	O
,	O
με	O
αναγνωρισμένα	O
από	O
το	O
Πανεπιστήμιο	B-ORG
του	I-ORG
Sheffield	I-ORG
,	O
bachelor	O
και	O
master	O
,	O
και	O
αναλαμβάνει	O
να	O
δημιουργήσει	O
μελλοντικούς	O
επαγγελματίες	O
developers	O
,	O
που	O
θα	O
έχουν	O
τη	O
δυνατότητα	O
να	O
γραφτούν	O
με	O
τη	O
σειρά	O
τους	O
στην	O
ιστορία	O
.	O

είναι	O
να	O
βαδίσουν	O
μέχρι	O
τέλους	O
με	O
τον	O
ΣΥΡΙΖΑ	B-ORG
.	O

Προκειμένου	O
να	O
επιβάλει	O
στο	O
κόμμα	O
του	O
τη	O
γραμμή	O
κατά	O
της	O
σύνθετης	O
ονομασίας	O
της	O
σκληρής	O
δεξιάς	O
πτέρυγας	O
της	O
Ν.Δ.	B-ORG
,	O
ο	O
Αδωνης	B-PERSON
Γεωργιάδης	I-PERSON
έφτασε	O
στο	O
σημείο	O
να	O
ισχυριστεί	O
(	O
ρ	O
/	O
σ	O
«	O
24/7	B-ORG
»	O
)	O
ότι	O
η	O
κυβέρνηση	O
Καραμανλή	B-PERSON
το	O
2008	B-DATE
«	O
πρότεινε	O
μία	O
σύνθετη	O
ονομασία	O
,	O
γνωρίζοντας	O
ότι	O
έχει	O
απέναντί	O
της	O
τον	O
Γκρούεφσκι	B-PERSON
,	O
ο	O
οποίος	O
θα	O
αρνείτο	O
»	O
.	O

●	O
Τελευταίο	O
βιβλίο	O
του	O
Π.	B-PERSON
Τσερόλα	I-PERSON
είναι	O
«	O
Λόκι	B-WORK_OF_ART
:	I-WORK_OF_ART
η	I-WORK_OF_ART
απόπειρα	I-WORK_OF_ART
δολοφονίας	I-WORK_OF_ART
μιας	I-WORK_OF_ART
δολοφόνου	I-WORK_OF_ART
φάλαινας	I-WORK_OF_ART
»	O
(	O
Κέδρος	B-ORG
,	O
2017	B-DATE
)	O

Ωστόσο	O
ο	O
τάφος	O
θα	O
μπορούσε	O
επίσης	O
να	O
ανήκει	O
στον	O
«	O
αντιγραφέα	O
Μαατί	B-PERSON
»	O
,	O
το	O
όνομα	O
του	O
οποίου	O
όπως	O
επίσης	O
κι	O
εκείνο	O
της	O
συζύγου	O
του	O
«	O
Μέχι	B-PERSON
»	O
αναγράφονται	O
σε	O
δεκάδες	O
από	O
τα	O
ταφικά	O
αντικείμενα	O
που	O
βρέθηκαν	O
,	O
εξηγεί	O
το	O
υπουργείο	B-ORG
Αρχαιοτήτων	I-ORG
της	O
Αιγύπτου	B-GPE
.	O

Βουλή	B-ORG
:	O
Συζήτηση	O
για	O
το	O
θέμα	O
της	O
διαχείρισης	O
των	O
απορριμμάτων	O
στην	O
Αττική	B-GPE

Την	O
Παρασκευή	B-DATE
θα	O
πραγματοποιηθεί	O
ημερίδα	O
της	O
Ελληνικής	B-ORG
Επιστημονικής	I-ORG
Ενωσης	I-ORG
Αιολικής	I-ORG
Ενέργειας	I-ORG
για	O
τη	O
νέα	O
αγορά	O
ηλεκτρικής	O
ενέργειας	O
,	O
τις	O
προκλήσεις	O
και	O
τις	O
προοπτικές	O
που	O
διαμορφώνονται	O
.	O

Το	O
«	O
παρών	O
»	O
θα	O
δώσει	O
κι	O
ο	O
πρωθυπουργός	O
της	O
ΠΓΔΜ	B-GPE
,	O
Ζόραν	B-PERSON
Ζάεφ	I-PERSON
,	O
καθώς	O
θα	O
συζητηθεί	O
η	O
πρόσκληση	O
της	O
γειτονικής	O
χώρας	O
στο	O
ΝΑΤΟ	B-ORG
.	O

Το	O
εστιακό	O
βάθος	O
του	O
σεισμού	O
υπολογίστηκε	O
στα	O
πέντε	B-QUANTITY
χιλιόμετρα	I-QUANTITY
.	O

Επίσημος	O
Αερομεταφορέας	O
της	O
εκδήλωσης	O
είναι	O
η	O
AEGEAN	B-ORG
.	O

«	O
Τα	O
πρόσωπα	O
που	O
πυροβολήθηκαν	O
θεωρούμε	O
πως	O
είναι	O
μέλη	O
συμμοριών	O
και	O
αναπτύσσουν	O
δράση	O
στον	O
χώρο	O
του	O
οργανωμένου	O
εγκλήματος	O
στο	O
Μάλμε	B-ORG
»	O
,	O
δήλωσε	O
ο	O
επικεφαλής	O
της	O
αστυνομίας	O
της	O
πόλης	O
,	O
Στέφαν	B-PERSON
Σίντεους	I-PERSON
,	O
σε	O
συνέντευξη	O
Τύπου	O
.	O

Σύμμαχούς	O
του	O
,	O
θα	O
έχει	O
αυτή	O
την	O
φορά	O
την	O
ΕΕ	B-ORG
(	O
καθώς	O
οι	O
προβλέψεις	O
του	O
έχουν	O
συγκλίνει	O
αρκετά	O
με	O
τους	O
Ευρωπαίους	B-NORP
)	O
,	O
αλλά	O
και	O
τον	O
Ευρωπαϊκό	B-LOC
Νότο	I-LOC
.	O

Ο	O
Πανελλήνιος	B-ORG
Ιατρικός	I-ORG
Σύλλογος	I-ORG
(	O
ΠΙΣ	B-ORG
)	O
ζητεί	O
από	O
το	O
ΚΕΕΛΠΝΟ	B-ORG
και	O
τη	O
Γενική	B-ORG
Γραμματεία	I-ORG
Δημόσιας	I-ORG
Υγείας	I-ORG
να	O
εντείνουν	O
τις	O
προσπάθειές	O
τους	O
για	O
ενημέρωση	O
του	O
πληθυσμού	O
σχετικά	O
με	O
τον	O
εμβολιασμό	O
προκειμένου	O
να	O
μην	O
εξαπλωθεί	O
η	O
νόσος	O
.	O

Π.	B-PERSON
Γαλιατσάτου	I-PERSON
εξηγεί	O
στο	O
zougla.gr	B-ORG
:	O

Διαγραφή	O
Πολάνσκι	B-PERSON
και	O
Κόσμπι	B-PERSON
από	O
την	O
Ακαδημία	B-ORG
των	I-ORG
Όσκαρ	I-ORG

Σε	O
νομικές	O
κινήσεις	O
κατά	O
διατάξεων	O
του	O
πρόσφατα	O
ψηφισθέντος	O
«	O
Κλεισθένη	B-LAW
»	O
αναμένεται	O
να	O
προβεί	O
η	O
Κεντρική	B-ORG
Ενωση	I-ORG
Δήμων	I-ORG
Ελλάδας	I-ORG
(	O
ΚΕΔΕ	B-ORG
)	O
,	O
σύμφωνα	O
με	O
όσα	O
είπε	O
ο	O
πρόεδρός	O
της	O
,	O
Γιώργος	B-PERSON
Πατούλης	I-PERSON
,	O
στη	O
χθεσινή	B-DATE
συνεδρίαση	O
.	O

ΣΑΡΑΝΤΗΣ	B-ORG
:	O
7,380	B-MONEY
ευρώ	I-MONEY
(	O
-0,81%	B-PERCENT
)	O

Παρά	O
το	O
γεγονός	O
ότι	O
οι	O
τράπεζες	O
της	O
χώρας	O
πέρασαν	O
και	O
με	O
το	O
παραπάνω	O
τα	O
stress	O
tests	O
–	O
λεπτομέρειες	O
θα	O
δουν	O
το	O
φως	O
της	O
δημοσιότητας	O
το	O
Σάββατο	B-DATE
5	I-DATE
Μαϊου	I-DATE
-	O
το	O
αμέσως	O
προσεχές	O
διάστημα	O
αναμένεται	O
να	O
ανακοινωθούν	O
από	O
τον	O
κάθε	O
τραπεζικό	O
όμιλο	O
,	O
τα	O
«	O
νέα	O
»	O
μέτρα	O
για	O
την	O
ενίσχυση	O
των	O
εποπτικών	O
τους	O
κεφαλαίων	O
αλλά	O
και	O
για	O
την	O
καλύτερη	O
διαχείριση	O
του	O
ενεργητικού	O
τους	O
.	O

Με	O
Μπλατ	B-PERSON
στέλνει	O
μήνυμα	O

Το	O
φθινόπωρο	B-DATE
του	I-DATE
2015	I-DATE
,	O
στο	O
απόγειο	O
της	O
οικονομικής	O
κρίσης	O
στην	O
Ελλάδα	B-GPE
,	O
εγκαταστάθηκα	O
στο	O
Σεντ	B-PERSON
Αντριους	I-PERSON
της	O
Σκοτίας	B-GPE
,	O
για	O
να	O
κάνω	O
μεταπτυχιακό	O
στις	O
ανθρωπιστικές	O
σπουδές	O
.	O

Αν	O
υπάρχει	O
κάποια	O
δυνατότητα	O
ερμηνείας	O
,	O
αυτή	O
θα	O
τη	O
βρούμε	O
,	O
μόνο	O
αν	O
προσφύγουμε	O
σε	O
προφητικές	O
διοράσεις	O
και	O
διαισθήσεις	O
,	O
με	O
τις	O
οποίες	O
,	O
πρέπει	O
να	O
το	O
δεχθούμε	O
,	O
ήταν	O
προικισμένος	O
ο	O
έφηβος	O
ποιητής	O
των	O
πρόωρων	O
οραματισμών	O
»	O
(	O
Παπατσώνης	B-PERSON
1976	B-DATE
:	O
161	B-CARDINAL
)	O
.	O

Κρήτη	B-GPE
:	O
Σε	O
εξέλιξη	O
μεγάλη	O
αστυνομική	O
επιχείρηση	O
για	O
εξάρθρωση	O
κυκλώματος	O
όπλων	O
-	O
Έγκλημα	O

Ζωγραφικά	O
και	O
χαρακτικά	O
έργα	O
του	O
Νικόλα	B-PERSON
Σφήκα	I-PERSON
με	O
θέμα	O
το	O
σκάκι	O
παρουσιάζονται	O
στο	O
Μουσείο	B-ORG
Βυζαντινού	I-ORG
Πολιτισμού	I-ORG
από	O
τις	O
27	B-DATE
Ιουνίου	I-DATE
έως	O
τις	O
2	B-DATE
Σεπτεμβρίου	I-DATE
2018	I-DATE
στο	O
πλαίσιο	O
της	O
έκθεσης	O
«	O
Ο	B-EVENT
Αλφόνσο	I-EVENT
διδάσκει	I-EVENT
Μπρόνσταιν	I-EVENT
!	I-EVENT
»	O
.	O

Εντός	O
των	O
επόμενων	O
ημερών	O
θα	O
παραδοθούν	O
στους	O
δημότες	O
και	O
στις	O
επιχειρήσεις	O
εστίασης	O
της	O
περιοχής	O
μικροί	O
καφέ	O
κάδοι	O
,	O
για	O
συλλογή	O
των	O
βιοαποβλήτων	O
,	O
τα	O
οποία	O
θα	O
οδηγούνται	O
προς	O
παραγωγή	O
υψηλής	O
ποιότητας	O
compost	O
,	O
με	O
σημαντικά	O
περιβαλλοντικά	O
και	O
οικονομικά	O
οφέλη	O
για	O
τον	O
Δήμο	B-ORG
και	O
τους	O
δημότες	O
.	O

Έτοιμοι	O
να	O
το	O
προτείνουμε	O
στους	O
πολίτες	O
»	O
αναφέρεται	O
στην	O
σχετική	O
ανακοίνωση	O
της	O
κας	O
Παπακώστα	B-PERSON
.	O

–	O
για	O
170	B-CARDINAL
έως	O
75%	B-PERCENT

Οι	O
αναλυτές	O
του	O
αμερικανικού	O
οίκου	O
σχολιάζουν	O
ότι	O
η	O
συμφωνία	O
εξασφαλίζει	O
«	O
μετριοπαθείς	O
χρημαδοτικές	O
ανάγκες	O
για	O
την	O
επόμενη	O
δεκαετία	B-DATE
»	O
,	O
ενώ	O
αναμένετια	O
να	O
ανοίξει	O
το	O
δρόμο	O
για	O
την	O
επιστροφή	O
της	O
χώρας	O
στις	O
αγορές	O
για	O
δανεισμό	O
σε	O
βιώσιμη	O
βάση	O
.	O
«	O

Άσκησε	O
,	O
όμως	O
,	O
έντονη	O
κριτική	O
και	O
στον	O
κ.	O
Μητσοτάκη	B-PERSON
καταλογίζοντάς	O
του	O
ότι	O
προανήγγειλε	O
πως	O
θα	O
καταργήσει	O
όλους	O
τους	O
νόμους	O
του	O
ΣΥΡΙΖΑ	B-ORG
στην	O
εκπαίδευση	O
από	O
τους	O
υπουργούς	O
Μπαλτά	B-PERSON
,	O
Φίλη	B-PERSON
και	O
Γαβρόγλου	B-PERSON
.	O

Η	O
Κίνα	B-GPE
θα	O
μπορούσε	O
να	O
ανοίξει	O
την	O
οικονομία	O
της	O
εάν	O
ήθελε	O
,	O
δήλωσε	O
σήμερα	B-DATE
ο	O
πρόεδρος	O
της	O
Ευρωπαϊκής	B-ORG
Επιτροπής	I-ORG
Ζαν-Κλοντ	B-PERSON
Γιούνκερ	I-PERSON
,	O
με	O
την	O
Ευρωπαϊκή	B-ORG
Ένωση	I-ORG
να	O
καλεί	O
τις	O
χώρες	O
να	O
αποφύγουν	O
έναν	B-CARDINAL
εμπορικό	O
πόλεμο	O
παρόλο	O
που	O
αυξάνεται	O
η	O
πίεση	O
στο	O
Πεκίνο	B-GPE
αναφορικά	O
με	O
τις	O
πολιτικές	O
του	O
στη	O
βιομηχανία	O
.	O

Στις	O
αποφάσεις	O
σημειώνεται	O
μεταξύ	O
των	O
άλλων	O
,	O
ότι	O
στο	O
πρακτικό	O
της	O
επιτροπής	O
αξιολόγησης	O
δεν	O
περιγράφονται	O
και	O
δεν	O
αναφέρονται	O
συγκεκριμένα	O
περιστατικά	O
,	O
αξιολογήσεις	O
,	O
εκτιμήσεις	O
και	O
γεγονότα	O
,	O
για	O
την	O
συμπεριφορά	O
των	O
παυθέντων	O
,	O
έτσι	O
ώστε	O
να	O
μπορεί	O
να	O
ελεγχθεί	O
από	O
το	O
ΣτΕ	B-ORG
η	O
νομιμότητα	O
της	O
πρόωρης	O
απομάκρυνσή	O
τους	O
.	O

Χριστόφορος	B-PERSON
Κολόμβος	I-PERSON
:	O
",O
Αυτός,O
είναι,O
ο,O
παράδεισος,O
